workbook,complex,very_complex,exceptionally_complex,formula_cells,total,mean,max,p10,p50,p90
assessment_tlf.xlsx,21,0,0,0,689,0.348,2.700,0.200,0.300,0.300
3.601972.IUI1WRFCHX1MLV4Q1VVZUGDGXZ15RDZ4B.1.xlsx,354,0,0,0,590,1.489,2.500,0.500,1.700,2.500
3.87142.IFJZO0YW3GB55P3U1HV5LTVLCLEDNVMSB.1.xlsx,248,24,46,6,2087,0.876,11.800,0.300,0.600,1.700
3.476213.DDN1EWCV4ESSQP010I0KAXCNG3TDHH24B.1.xlsx,1282,25,900,5,2909,3.065,5.600,0.300,2.800,5.600
3.400194.DJTVBYJS0GDURY3UJSY5EMESP31Q0MTWA.1.xlsm,38580,0,0,0,38602,2.699,2.700,2.700,2.700,2.700
3.65952.PCDQAPTFG0NCFRT0XJGE20YE3X12AGGVA.11.xlsx,253,15,0,0,1724,0.848,3.600,0.500,0.600,2.200
3.510183.MYNYZ4KY42BZEW541A5LFRYEDDM0CMBDA.1.xlsx,662,0,0,2099,2259,1.028,2.600,0.200,0.800,2.200
3.213436.ID4SZ5DKO3YT45BSVSTQD3IIVMGFFYMIB.2.xlsx,3137,0,0,0,3242,2.239,2.500,2.200,2.200,2.500
3.541406.IDS32ECSUE2YIJMCMPUSX424DXSRVQAKA.2.xlsx,0,0,0,74,574,0.499,0.500,0.500,0.500,0.500
3.1176965.JTAQB31DADC2PXCUZLT3FE2ICQJUUE4AB.1.xlsx,601,1,0,1609,6086,0.507,3.800,0.300,0.300,0.600
3.58556.EYTMSG0A5NATUFHYJTOQ41CM2OJWM0BJA.1.xlsx,918,12,60,13,2931,1.261,11.800,0.300,0.700,2.600
3.335621.KJP1HIVO1E2I0LM45W5RCQ12PSKG1PTMB.2.xlsx,4,0,0,4,2062,0.414,2.400,0.200,0.500,0.500
3.837005.M3CSBP3K0KF3Q40P4E3BE2XYUT45IGX3A.1.xlsx,0,0,0,502,2101,0.623,0.800,0.500,0.500,0.800
3.905222.LVMWOXZM3UKGJHVVQMDN3PQSA1OHEGD0A.4.xlsx,656,81,0,30,2206,1.132,4.800,0.100,0.500,2.800
3.298679.EBHVKNLVSPJMTR5TTOI11MMESPYDIA2OB.1.xlsx,2071,0,0,546,2071,2.300,2.300,2.300,2.300,2.300
GasBank%20revised%202-18-04.xlsm,0,0,0,0,1904,0.200,0.200,0.200,0.200,0.200
3.361534.CVO2RCCALKTIPXTBP1ERMXD1ETTITDYLB.2.xlsx,28,0,91,53,1384,0.837,5.300,0.200,0.600,0.600
3.546717.NVA0Y0WY0V4FRNVW4RXCQIPCDSQIHGX4A.1.xlsx,4201,1694,384,0,6615,2.895,5.300,2.500,2.800,3.500
3.275010.KPMI4CYLHT5YB5VAPOFQYIBMWQI5AOESB.1.xlsx,134,0,0,69,134,2.800,2.800,2.800,2.800,2.800
3.348332.J0BUG3K5MLQ3LMIVPSBGRLYBU1AICVNXA.1.xlsx,9,17,12,0,811,0.656,7.000,0.300,0.500,0.700
3.106115.A22SPDV3QVECY0D515K5NWAO0NSXUI3LB.1.xlsx,10041,0,0,24495,10049,2.198,2.200,2.200,2.200,2.200
3.337343.PTUWRHBFVBS2ZI2VDY3SJYQHUOVA5XWEB.1.xlsx,156,4,0,103,377,0.773,4.700,0.300,0.600,1.300
3.871503.BTU0ALRFE0IEEOXPFOQR1Y3AHCPR0BMVB.2.xlsx,3366,0,0,0,3420,2.365,2.400,2.400,2.400,2.400
3.464944.BIE1FQRWRI40EX0H2RTJ5NX3GKXFFLNFA.1.xlsm,38592,0,0,0,38614,2.699,2.700,2.700,2.700,2.700
3.354730.IMPLWUEX1ECFR0DR3O2QLUPSRYNKGBBNB.7.xlsx,11361,4115,0,6,23590,1.871,4.500,0.500,1.100,4.500
3.855287.CHCRZ3PDMRFXYDY2TELF1NI4XSODUDWDB.1.xlsm,2,1384,3162,6,4567,7.758,9.100,4.800,9.100,9.100
3.31137.OH3PFXLTELKQ0NATAI14X1L3P53YVFJIA.1.xlsx,0,0,0,0,416,0.500,0.500,0.500,0.500,0.500
3.79244.BDIBEU4T44Y4M2DPVYJVBOUNIUTQONVSB.4.xlsx,127,1,4,31,960,0.674,9.100,0.200,0.600,1.400
3.1190171.AMGOWPGEID4TU2ARDWPQDYHF141PMABCA.2.xlsx,0,0,0,188,167,0.202,0.300,0.200,0.200,0.200
3.657051.GIU2BNZQAWFA4ZEEE3IKNT1PTIXLX2JVB.1.xlsx,248,225,675,174,1373,4.525,10.100,0.500,3.500,7.900
3.117941.JSMO05LJJCESEN23REXEYELLP1SEQNSOB.1.xlsx,155,0,0,0,289,1.190,2.500,0.300,1.100,2.500
3.657500.BRDDGMQ0TTXTWHUAGGN10GSWOI32JIS5A.2.xlsx,467,0,0,16,1118,1.234,2.600,0.300,0.600,2.300
3.354667.KCH3XWTROLZ2NOBWL2HEEKDZ0NS5QDZSB.5.xlsx,11087,3984,0,0,22918,1.871,4.500,0.500,1.100,4.500
3.129145.DDPFMCIICBFCG12XNAQYHVU0EIXM1KDSA.1.xlsx,72,810,0,64,3259,1.443,4.600,0.200,0.300,4.600
3.95228.NP3R0PNY2EDN2HPBIMSUGBOJCB3XIJJAA.1.xlsx,130,0,0,0,768,0.783,2.200,0.200,0.500,2.200
3.986645.GB5I45CCLXWMINOC5DP2QGIZGULEDCL0A.1.xlsx,1,0,0,0,397,0.556,2.200,0.500,0.500,0.700
3.943487.D0PVJIVS3K55PZYKARYZWG4JOJK5QDBJA.1.xlsx,1900,0,0,0,1900,2.200,2.200,2.200,2.200,2.200
3.81549.AOFSUPFDG4TRXW0TXPFTS0YEUNIVP5OLB.1.xlsx,245,15,55,10,2220,0.860,11.800,0.300,0.600,1.300
3.437558.HPUKZ2XHCFHIM4TF5BDZNBHNR1YDWVFGB.1.xlsx,12,0,0,0,330,0.630,2.200,0.400,0.600,0.600
3.861658.ODNOR51431SG4GVGAIF44C1WYNYHXJPKB.1.xlsx,0,0,0,0,602,0.500,0.500,0.500,0.500,0.500
3.73900.NLL3ZPHUYJ5C2YWGQSCFQ3XRIFO0T1OUA.1.xlsx,918,12,60,13,2931,1.261,11.800,0.300,0.700,2.600
3.772521.GUPGNJ55GP2YRDFPB0QL3WGM245YILMTB.36.xlsx,0,0,0,183,170,0.204,0.300,0.200,0.200,0.200
3.421120.AWCEWQMENWCLSJ2A3S4WLTRZQ4C3MP4UB.1.xlsx,16,0,0,0,1504,0.516,2.000,0.400,0.600,0.600
3.89961.HC02JDPVUQ41K35GHFZPELKPWGFKQZMSA.3.xlsx,403,28,1,78,3881,0.639,5.300,0.200,0.500,1.700
hist_e.xlsx,421,24,0,238,504,2.289,3.000,0.500,2.400,2.800
3.62035.C3IWUIEZOHJVC5EFI3OKB4ITCBBPUPMHA.1.xlsx,248,24,46,6,2073,0.878,11.800,0.300,0.600,1.800
3.656537.E0VPM3F5XQI2HBHJKLC4IWWBREJGPRD3B.1.xlsx,13536,0,9024,1623,22560,4.580,11.800,1.500,2.800,11.800
3.684394.MPSUUKIRJYGUDJHW54UBV4UQHIZXBC4JA.1.xlsx,81,0,0,10,81,2.200,2.200,2.200,2.200,2.200
3.350129.CVIMGFWSZJJN22L42ZBFLTYV1RGVWEYNB.1.xlsx,120,0,0,0,280,0.870,1.400,0.400,0.500,1.400
3.96787.AWMRTTFJ20W5VDWKOUQGHF3YA3ETHRIVA.11.xlsx,253,15,0,0,1724,0.848,3.600,0.500,0.600,2.200
3.1138932.E2B5BDVYU3FH3JVUM4A50G3J1ZAPS54NB.1.xlsx,40,5,0,0,433,0.814,4.500,0.300,0.700,2.200
3.69139.MVYAJVOVDE2JAXGD1FMBG1SVBBR0TXAYA.1.xlsx,1327,383,94,0,9275,0.885,5.700,0.200,0.600,2.200
3.763194.JA2VLFCWVZRXKPBXRLMWKMXRXZ1KSUPAB.1.xlsx,273,18,0,0,1686,0.660,3.000,0.300,0.600,1.200
3.418734.CUJUFGSZ5BATPK0DWJSSXFFEBGNVHLBRA.1.xlsx,44960,2124,3417,102084,112008,1.592,7.300,0.500,0.600,2.600
3.721150.HKGJWZIFKF2F5OXS01GUCCEIANXKBCEIB.1.xlsx,385,103,0,0,16030,0.623,4.900,0.300,0.600,0.600
j4.xlsx,9,0,0,0,669,0.616,1.400,0.600,0.600,0.600
3.468934.FOVOREB0P3B0QTRGLZDYBS1CYNFGW3OOA.1.xlsx,819,0,0,1875,943,1.171,2.200,0.500,1.100,2.200
3.459870.GAKLKYCUFSEEVNB3LAJD3MA3AT2MDBGRB.1.xlsm,20092,0,0,0,20114,2.697,2.700,2.700,2.700,2.700
3.217090.DZ0JAIQG4AF1MOPLT1TYRJSQOMU2EC2RA.2.xlsm,324,26,724,42,1304,11.526,39.800,0.500,6.400,39.800
3.1210290.EKGUVAL0AD2LRBWWQOOPR4S4PTXZJ5QZA.1.xlsx,0,0,0,437,1817,0.623,0.800,0.500,0.500,0.800
3.1132022.LNTB4YFWWBEWJXPGJQYCB4GVE4JFIMD0A.1.xlsx,0,0,0,194,165,0.201,0.300,0.200,0.200,0.200
3.1173265.MOQTPEXVATKU5LGKH5ARENV4NHF1GMUDA.1.xlsx,1,0,0,0,567,0.355,2.200,0.300,0.400,0.400
3.647695.F2ZP4BLDSXDBCLXAIDNFFE4ASOF1UYJVB.2.xlsx,229,1,0,0,279,1.872,4.600,0.200,2.200,2.200
3.32634.MOIKOI4VVUBTXUVIPKMAIYC4ANH3D1VPB.1.xlsx,0,0,0,0,376,0.518,0.600,0.100,0.600,0.600
3.209326.M32A4XL4N53UGZZODZ4JX4BFHZAKRQFVA.2.xlsx,16,69,69,0,339,1.928,7.300,0.200,0.200,5.000
3.1163770.LHBX2NWFSMHDYESW1UBYXKEQXYKYYQP5B.1.xlsx,180,0,0,0,2790,0.675,2.400,0.400,0.600,0.700
3.435596.JL2ULWFJAFJLEPQOPEHIIOC1GXA0NS3OB.3.xlsx,212,19,0,0,431,1.058,4.700,0.200,1.000,2.500
3.420780.M42BYPBBXBS5HYC4XMX1XROF4YACYIG2A.1.xlsx,10,0,0,0,940,0.516,2.000,0.400,0.600,0.600
3.258164.OZZDJV4V3PSJZFQOGKDBWH1S2Z002VOFA.1.xlsm,560,67,924,6,3144,3.610,16.600,0.200,0.800,11.100
3.737676.MQMUOESBRY4D2OHZE1L0A3IIPM5PLTKJB.1.xlsx,111,0,0,1,704,0.619,2.200,0.200,0.500,1.200
3.54508.M1CCSFHOODI20X2NXPJV0SA3O4W3AP21A.1.xlsx,46,164,12,0,529,1.899,6.200,0.300,0.900,3.900
3.9348.F3GJR1A2DH5E3IRSF4CWSSSVH1225K5AB.1.xlsx,0,0,92,5,93,9.697,9.800,9.800,9.800,9.800
3.944756.EXDPNE1ZWWSCQ102SWAOUW044Z34F4FPB.1.xlsx,1900,0,0,0,1900,2.200,2.200,2.200,2.200,2.200
3.986587.MWY1ZSVT24RNSXOW5DRDZEPSSNX1TP5IA.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.932133.GSGKLX4KMK0Y2JEOERS2CAQ22GUNIWRYA.1.xlsx,1900,0,0,0,1900,2.200,2.200,2.200,2.200,2.200
3.657173.AWWOXU2IHBTMTLMSLEI3KSC2PX0RUEJWA.1.xlsx,13641,0,9094,1655,22735,4.580,11.800,1.500,2.800,11.800
3.420882.IGNLBMCBH3JSFXBFHHAL4K0WLK4ICGJ4A.1.xlsx,57,1,0,85,507,0.553,3.800,0.300,0.300,2.200
3.314508.E21AKW0JOSJ0HNPCE3SSELTLCRBT4YLIB.2.xlsx,120,10586,0,0,11110,3.695,4.300,3.300,4.300,4.300
3.823664.EVHG1YSVXJ1JEODN0TRRL3XOIBLEYJAMB.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.420507.LJIBKMOHYKWPAIRYP43HJOBQH0QINICAB.1.xlsm,767,3,16,249,4819,0.835,5.200,0.200,0.800,2.200
3.873980.NUGXDTNNDGVNKOIJFMMZGAU2WTYDEVVOA.2.xlsx,3366,0,0,0,3420,2.365,2.400,2.400,2.400,2.400
3.858005.CSUAAG44HVF0QGWG2Q3RA13NMUEP4DAZB.4.xlsx,124,5,208,89,2788,1.103,6.800,0.200,0.500,2.200
3.1133330.APX45ABM1MPUW5YVQDWNUO43NAKO5EFJB.1.xlsm,0,0,0,765,8064,0.500,0.500,0.500,0.500,0.500
3.198741.KDZW5BBNPMV2RDRQWQQTPRMUI1JKBMS1A.1.xlsx,9240,9252,0,2448,21572,2.086,3.100,0.800,2.000,3.100
3.274212.NNORPZIICXDS5HJ3SMIXXWA3ZL2JD2JKB.1.xlsx,905,0,419,0,5169,1.315,12.000,0.200,0.500,2.800
3.470387.LE24MYL00TXXLBNGEM2OKN2355H0PLLYA.1.xlsx,5,0,0,177,512,0.348,2.200,0.300,0.300,0.600
3.884727.GE3QEMGBX4Q3CCL1JQZT5BB5X2PT1FKMB.1.xlsm,38592,0,0,0,38614,2.699,2.700,2.700,2.700,2.700
3.545462.P5G0I3HEWVBGJME1XIVR1ZA5EWHPQWTNB.2.xlsx,51,24,231,0,306,13.660,44.000,2.800,8.400,44.000
3.273705.LCP12PTW2OX4IUOQYIBSPXYYI4OS0IX3A.1.xlsx,0,0,0,0,449,0.252,0.300,0.200,0.300,0.300
3.443559.JBJ5S4TNVXHCUSD5VTQKPXH4GD5AA4O1A.1.xlsx,68,0,110,0,6942,0.522,9.300,0.200,0.500,0.500
3.1132405.NR1HAOS2TXHLSRGWDEZU2WQ1O4JOM3H1A.1.xlsx,0,0,0,0,372,0.500,0.500,0.500,0.500,0.500
3.416461.PUZLJ33SMEMJUVVRIYQLTLJZN4JYIPCSB.5.xlsx,576,66,21,0,2583,0.854,5.300,0.200,0.500,2.200
3.655653.BRYTXO1ONWNTRQNNDS5VVJ3GBJICLRFQA.1.xlsx,13605,0,9070,1693,22675,4.580,11.800,1.500,2.800,11.800
3.884297.FDNGAU1SG3MC3F2HQKJV5W0KEBFCTPJTA.1.xlsm,27188,0,0,0,27210,2.698,2.700,2.700,2.700,2.700
3.1003849.P3RN0MIPIKR3LCXIZPKSSMFJ5IZSCGJAB.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.602798.A5CEXAAHGWQYTEN42MYLFK2PJ15N3W1GA.1.xlsx,184,0,32,26,1412,0.711,5.300,0.200,0.500,2.200
3.12109.LH50LWNUM5AO0ZI5FF4VAX4WGQ0DO0LGB.1.xlsm,365,36,352,0,1085,4.392,15.900,0.200,2.400,9.800
3.315107.MGJAERVJFTBT3FOURHCPBSZCFN4TIBQIB.1.xlsm,0,3014,0,7614,24112,1.050,4.900,0.500,0.500,4.900
3.614838.AEGO3KNDPKKPFEURW0SFPVCKLZX1V0J2B.1.xlsx,2,0,0,173,422,0.787,2.200,0.400,0.900,0.900
3.465104.IMHD4HATODH1DQRDHOGRFASTVNCAINVRA.1.xlsm,38592,0,0,0,38614,2.699,2.700,2.700,2.700,2.700
3.325440.HYG5O5TN1BOTD5U5MJUO51OFKJNRYHUMB.1.xlsx,248,0,0,0,336,1.165,2.700,0.300,1.400,1.400
3.284897.IVQ0GA1AKHJ4JE24JYZ5MYWC1AQQ3Z0CB.1.xlsx,83,0,0,0,177,1.297,2.200,0.500,0.500,2.200
3.888029.MDAVBKVBAHO1C30ILATDGVQNT3FPRFU5A.1.xlsx,3366,0,0,0,3420,2.365,2.400,2.400,2.400,2.400
3.354069.J4JUILZG3C0LONUF24PXADWZMLEWVJOOA.1.xlsm,5412,0,388,15,9496,1.591,5.100,0.200,2.200,2.200
3.719894.LOXVDEBC3WHEKABI2ARLJ2LJ5PMGSAV1B.2.xlsx,0,0,0,0,365,0.300,0.300,0.300,0.300,0.300
3.657500.BRDDGMQ0TTXTWHUAGGN10GSWOI32JIS5A.3.xlsx,425,0,0,1,1007,1.245,2.600,0.300,0.600,2.300
high_2003_belg.xlsm,1082,1500,5303,5,13108,4.373,23.100,0.600,4.900,7.900
3.189157.OPW1X3V1KPW0EE23RKFNP5CNJE1ZQTUKA.1.xlsm,159,75,421,0,2540,1.439,10.300,0.300,0.300,5.500
3.411858.CXWY4NZ22QSWKIGXHH1X2ARQZDUUZB4PA.1.xlsx,317,124,0,0,1122,1.375,3.200,0.200,0.500,3.200
3.26806.CMFZDR1HJNZHQNRWQYC40QSTFKIMEJKRB.2.xlsx,0,0,0,43,606,0.303,0.500,0.300,0.300,0.300
3.120581.K5EZMATV1KCBJIOCT2XWJQW3OFJU0DODB.2.xlsx,35,0,0,3,260,0.729,2.200,0.500,0.500,2.200
3.149918.A0KKM4EWQ2QIPS2VXR5ELZUTBPBZS4HMA.1.xlsx,8,0,0,0,6651,0.463,2.200,0.300,0.500,0.500
3.350056.E12VYJKU5H3QREE3L3LJ4I54ZXURN4CAA.1.xlsx,8372,8214,0,310,17496,3.241,4.300,2.500,2.500,4.300
IT_Schedule_Rates.xlsx,0,0,0,0,604,0.300,0.300,0.300,0.300,0.300
3.680051.OI5HDM3H0EJHNYBLQSGOEQ0X4PBJMPGCB.1.xlsx,4,0,0,1,228,0.333,2.200,0.300,0.300,0.300
3.1197600.E5JDC01CTE1HPGC3LYP14QZOZLVHVR1SB.1.xlsx,35,0,0,21,389,0.592,2.500,0.200,0.300,0.800
3.862788.NKKFOKKGZIZJJWKGYE4H5FVMKBY5ECXWB.1.xlsx,0,0,0,0,602,0.500,0.500,0.500,0.500,0.500
ForgingsImpactsSurveys2003.xlsx,0,0,0,0,399,0.223,0.800,0.200,0.200,0.200
3.545092.JXGMPIHB2B1GW5AKGQH1QTM0HVW5T14GB.1.xlsx,51,24,231,0,306,13.660,44.000,2.800,8.400,44.000
3.384358.ETAU4B3ZLNOX33COCFGYFN244XCWZFMWB.1.xlsx,81,6,120,0,414,2.290,5.700,0.200,2.200,5.700
3.1028206.ICGKYEWUZW2XFFOMALK5UZLJVHDE2ELOA.3.xlsx,21,302,148,0,1386,1.943,5.000,0.300,0.500,5.000
3.371314.IIBTFHXXQGJVLID4IKLAJT2W2W3JHCWHA.4.xlsm,323,4,816,96,1798,3.797,11.400,0.200,2.400,9.900
3.1176704.MHUVLTJ25M20IJ0XEJI5EHRIB5UYAGBNA.1.xlsx,507,1,0,1286,5156,0.504,3.800,0.300,0.300,0.600
3.125967.F1N1TJDVGFASRYHHFA01JCMYIGFXC4WJA.1.xlsx,72,810,0,64,3259,1.443,4.600,0.200,0.300,4.600
3.54197.BMRNTLFVCXB3FGJJWKCDMQGMA42B1B4NA.1.xlsx,1327,383,94,0,9275,0.885,5.700,0.200,0.600,2.200
3.415456.OKHD3MTAOOLOH4T5XA03MLDKDPIXOEN2A.1.xlsx,3805,0,0,96,13334,0.864,2.600,0.200,0.200,2.500
3.875749.PGIGLAERLH5MD40GKKOB30HJWCCTMJO1B.2.xlsx,3366,0,0,0,3420,2.365,2.400,2.400,2.400,2.400
hist4q.xlsx,272,0,0,70,336,2.171,2.800,0.500,2.500,2.800
3.397444.PSVLA5IR5DLZJEAI5WW33GBH2NX3XZGUB.1.xlsx,1723,0,1,0,4273,1.107,13.800,0.200,0.600,2.500
3.421709.PSOAIG0O0SV1KZQDY42B3SRCWJWD4XLSA.1.xlsx,648,1,0,1678,6551,0.508,3.800,0.300,0.300,0.600
3.371314.IIBTFHXXQGJVLID4IKLAJT2W2W3JHCWHA.3.xlsx,10,0,0,0,412,0.502,2.200,0.200,0.500,0.500
3.357413.O0ZWCQD4SW2D2THOPCTV321GYM23O4QPB.42.xlsm,857,7165,6331,8,30489,2.968,26.900,0.200,0.200,9.800
3.96024.GG0YK1JSJUUTLHT3EGKTMED4F5OS3SB4A.1.xlsx,98,0,0,59,198,1.333,2.600,0.500,0.500,2.200
3.545487.B22XIC4GMZXWAOJBQ0UIVVYL2QFIMHHNA.2.xlsx,51,24,231,0,306,13.660,44.000,2.800,8.400,44.000
3.299034.FYM1EHGOFHR13XH4I2PYJBQDF1OE1WZGA.1.xlsx,3944,0,0,1599,3944,2.200,2.200,2.200,2.200,2.200
3.855463.N1LDOTHBEL4ZEC1VFUGI1QEDRMW1NRVLB.1.xlsx,20159,0,20328,86,40487,3.756,5.200,2.300,5.200,5.200
3.462083.AYQBH2VRNSORGUREMVL0L51RKSTMFWC1B.2.xlsm,27336,0,0,0,27358,2.698,2.700,2.700,2.700,2.700
3.615620.EBVHRULJGQHX4KEIA3QRRUCGFTQVNKSUA.2.xlsx,713,2,0,0,1458,1.404,4.400,0.200,0.500,2.500
3.440481.FM5Q2MORLDXU34JJLVS31N4CEZRLFXKDB.1.xlsx,402,127,0,2,2083,0.984,4.200,0.300,0.600,2.700
3.668425.LEDB4W1WTCXZMG4HHAFJV1B3F2YPIASWA.2.xlsm,4523,991,487,5,19334,1.251,33.100,0.200,0.500,2.800
3.261500.OILCIGDWPMZPX3CROHOY5VL20E34UOCBA.1.xlsm,561,67,924,6,3145,3.611,16.600,0.200,0.800,11.100
3.314215.FUGRHNNMGIOKRRBKPNIBW1HWNHW1B5TIB.2.xlsx,11195,4032,0,0,23158,1.874,4.500,0.500,1.100,4.500
3.463459.DBTCOZV1XDV3JPEI1L0HNVEH5HHXJER3A.1.xlsm,38592,0,0,0,38614,2.699,2.700,2.700,2.700,2.700
3.322177.AOK5VUWEZXFFK5GHDXVV1LRWPPR5T043B.1.xlsx,120,0,0,0,280,0.870,1.400,0.400,0.500,1.400
3.406891.EUBU3BARMC5LPDPNUJ2H2V3YZPGZIDO2B.1.xlsx,18,0,0,42,620,0.355,2.200,0.300,0.300,0.300
3.822435.F5HUFAEDYQDSCHUCFTNV5Z0EPQB0NCC4B.1.xlsx,2920,135,1,0,7841,1.095,5.000,0.300,0.600,2.200
3.92871.NV01BUTUNS1KDAXSNQNAKUC00NZH3APMA.1.xlsx,918,12,60,13,2931,1.261,11.800,0.300,0.700,2.600
3.655659.NRJZKHYCYDSPOVSEJKAKSQWZSICZLIGBA.1.xlsx,13605,0,9070,1699,22675,4.580,11.800,1.500,2.800,11.800
3.591771.IINFDCDDEUN5V2JDJ3IAPPQWGTXD4PHAB.1.xlsx,1192,125,131,14,4235,1.202,10.000,0.200,0.200,2.700
3.415397.GX25GCJQBYUKOPXVNWDKJM2OR0HLTTEKA.1.xlsm,30,0,0,0,194,0.770,2.400,0.500,0.500,2.200
3.721121.H3CGQJSONH15ZXFAM5QEYEMD2P4BN0KFB.1.xlsx,491,1,102,0,16037,0.642,6.000,0.300,0.600,0.600
3.359601.JI51M3WOEENGA1SR23A4XSCK1OQFBPMVB.2.xlsx,28,0,91,53,1384,0.837,5.300,0.200,0.600,0.600
3.554807.BWRNDK0F1M43PWSYQDFIAMPOG2GS55Z3B.1.xlsx,100,0,0,0,208,1.549,2.800,0.500,0.500,2.800
3.435596.JL2ULWFJAFJLEPQOPEHIIOC1GXA0NS3OB.2.xlsm,265,3,0,231,940,0.900,4.800,0.200,0.300,2.600
3.421889.PWUXXZ2TK03NC2IW2ZC0JPDDWAWLIENFB.1.xlsx,20,0,0,0,1880,0.516,2.000,0.400,0.600,0.600
3.463418.BRJ24JBCI3EPTPVSMHI5CDCKJLRL2PCEA.1.xlsm,5424,0,0,0,5446,2.690,2.700,2.700,2.700,2.700
3.591725.NSTEJSSFZPWZDCYZJXIJBFSJ0SCTBZQTA.1.xlsx,1162,0,420,0,5431,1.387,12.000,0.200,0.500,2.800
3.620697.NQD0T5A2BHVBPQ0QMRUDZIFWPY45FSCZB.2.xlsx,347,124,0,7,1837,0.891,3.100,0.200,0.200,2.500
3.445772.NBLKFBX41MSY50X4QC5PLLI5NJI15DFWA.1.xlsx,94,0,0,0,1975,0.608,2.600,0.300,0.600,0.900
3.865112.IIJKLSTGPXLP1JTWR42AGYDCZ3HFCUKLA.1.xlsx,906,0,421,0,5172,1.319,12.000,0.200,0.500,2.800
KS34_Assess.xlsm,100,0,0,0,892,0.544,2.200,0.200,0.200,2.200
3.354070.E3XCIXLXXZZQ2IG1QZKKK3QJKTE0NDSRA.1.xlsm,5412,0,388,15,9496,1.591,5.100,0.200,2.200,2.200
3.774033.K2LUW0DXDJXPTPBVQYRSLCALR40LDH1QA.23.xlsx,0,0,0,199,165,0.201,0.300,0.200,0.200,0.200
3.596970.KHZV1MEBIQUFDVRQWSJQZTTJWAEPED1VB.1.xlsx,1641,753,572,1721,9562,1.105,8.700,0.200,0.200,3.100
3.655733.BX5NIV1CIOZQHN3PGS2B22DV14X0SYR4A.1.xlsx,106,162,486,154,916,4.693,10.100,0.500,5.100,7.900
3.418598.ENN5U4VZBGAW0FOEM0YHKQFLLE25WLIRA.1.xlsm,120,96,778,2,1809,3.234,14.700,0.500,2.300,6.200
3.463460.PCKHRBMDAA4LPCDWQ00HML2RJ4GTHNIRB.1.xlsm,38592,0,0,0,38614,2.699,2.700,2.700,2.700,2.700
3.763387.D0MI1JY1W51X2UEYEJ505AM5RMXSVZDWA.3.xlsm,380,83,0,60,1002,1.269,4.100,0.400,0.900,2.200
3.548699.JEWNEE4P1PYVZCL5WOAGL0KN2B5NDAVBB.1.xlsx,0,4228,4228,0,8456,4.250,5.100,3.400,5.100,5.100
3.608707.ICFGVFAM2BCGZGE4EE1SVJRPQU0FZ2TBB.1.xlsm,344,0,30,34,13268,0.566,5.400,0.500,0.500,0.500
3.755191.NUPGJY00MWPDGEXN05ENK5LXYLD2PKUXB.1.xlsx,0,0,0,174,269,0.849,0.900,0.500,0.900,0.900
3.463446.G3ULAS1DGJJSAFAQ32OBIBJAXYEYE5JGA.1.xlsm,15624,0,0,0,15646,2.696,2.700,2.700,2.700,2.700
3.32639.IG0PE541BIOD5QZK2AHLW1N2PJZRKI0BB.1.xlsx,0,0,0,0,376,0.518,0.600,0.100,0.600,0.600
3.98933.EVRQG0DB0LTKAX5AL1PYHFORJ4GC03CTB.1.xlsx,98,0,0,6,549,0.778,2.200,0.200,0.500,2.200
3.203620.LBQA3FMV1ICHLOVBJYFAOAEBUYIOIG05A.1.xlsx,17,133,71,0,408,2.249,20.000,0.200,3.400,5.000
3.837383.NUSYUIANOOJW2JNIS31CBHEE0UW3TLAWB.1.xlsx,2963,2901,0,0,5864,2.944,3.500,2.400,2.400,3.500
3.274329.OUK4CHB1M3GM53GAVKC2XD20JOW5OOXTA.1.xlsx,128,0,0,71,128,2.800,2.800,2.800,2.800,2.800
3.606806.P3U0A5IRZ32SFIJXLQV1AI1UYXKOCC21A.1.xlsx,358,0,0,352,390,2.040,2.200,2.200,2.200,2.200
3.391203.IV0XGLWGLUXTY5PRGQT01O22NL55HX01B.4.xlsx,2,0,0,0,435,0.435,2.200,0.200,0.500,0.500
3.720242.G1030ZRESELGFBF5UQQQGSC4SEQLP3K5A.1.xlsx,0,0,0,137,78,0.450,0.500,0.200,0.500,0.500
3.763502.B4NSE1LIRZJXIINJREISSDYBM5WPYSSQB.1.xlsm,77,0,1386,10,1463,12.932,21.900,5.100,13.500,21.900
3.317343.I4ELFT2JQHI5MLUNC15DYLOKDARFOBKZB.4.xlsx,11195,4032,0,0,23158,1.874,4.500,0.500,1.100,4.500
3.772521.GUPGNJ55GP2YRDFPB0QL3WGM245YILMTB.27.xlsx,0,0,0,196,167,0.202,0.300,0.200,0.200,0.200
3.365748.KDI1D4JYEJPKZ3OIDMD3XFMR0SB1F5LMB.1.xlsm,832,556,1548,8,6044,2.207,9.100,0.200,0.700,5.900
3.484298.BVHWHPNBIGW1WL5WKS3ASGMNWF2IGZCCA.1.xlsx,2,0,0,221,262,0.385,2.000,0.200,0.500,0.500
3.927354.GC2CJYZPDRKZVRHMQNQWI0YBU0GJAKGQB.3.xlsx,21,302,148,0,1386,1.943,5.000,0.300,0.500,5.000
